"open","close","high","low","volume","start"
7237.5,7249.01,7250,7235,122.47115785,1535889000
7249.01,7195.62,7250,7180.6,318.32795906000007,1535892600
7195.62,7207.03,7227.1,7183,173.04178262000002,1535896200
7207.01,7212.28,7244,7207,175.91127531000004,1535899800
7212.29,7265,7276.46,7200.89,261.01544935,1535903400
7265.01,7286.62,7303.33,7265,311.41190894,1535907000
7286.61,7289.61,7296.54,7270.45,184.73453728,1535910600
7289.62,7285.36,7323,7281,333.10362418,1535914200
7285.05,7280.14,7300,7260,230.10873886999988,1535917800
7280.14,7285.01,7298.65,7277.19,202.71827625999993,1535921400
7285.01,7288.11,7293.28,7270,179.41829533999996,1535925000
7288.12,7309.05,7328.99,7268.31,513.58556932,1535928600
7309.04,7278.3,7324.64,7278.29,254.0783103399999,1535932200
7278.3,7262.14,7286.1,7232.84,398.0038526900001,1535935800
7262.14,7265.13,7269.49,7245.91,113.12309596000003,1535939400
7265.12,7262,7285,7261.56,210.12923662999992,1535943000
7262.01,7207.76,7262.01,7192.99,511.75054817000006,1535946600
7207.76,7212.37,7223.02,7200,178.41246685000002,1535950200
7212.38,7247.82,7259.46,7208,239.09822221,1535953800
7247.82,7232.59,7249.12,7225.36,95.08497424,1535957400
7232.59,7241.98,7260.29,7232.59,76.57402859000001,1535961000
7241.97,7213.06,7241.98,7206.11,101.03984546000001,1535964600
7213.05,7228.04,7235.98,7210,81.29477507,1535968200
7228.04,7224.29,7235.72,7219,69.48747271999999,1535971800
7224.29,7249.94,7254.76,7220.29,109.44340063999998,1535975400
7248.5,7280,7291,7248.46,247.2920024,1535979000
7280.01,7273,7283.94,7257.94,205.15107116999994,1535982600
7272.99,7274.01,7279.7,7266.73,262.73880894,1535986200
7274.01,7256,7283.89,7249.03,268.8777553299999,1535989800
7256.01,7278.88,7284.99,7253.23,251.91867478999998,1535993400
7278.89,7273.86,7278.89,7263.03,172.16091174,1535997000
7273.86,7316.57,7322,7265.12,746.594493109999,1536000600
7316.58,7284.99,7320.99,7271.46,410.4458333599999,1536004200
7285,7300.54,7302,7284.99,248.68015748000008,1536007800
7300.53,7284.99,7339.52,7278.72,417.03577075000027,1536011400
7284.99,7258.21,7285,7245,459.7823697000001,1536015000
7258.21,7263.7,7269.48,7250,170.80811288999993,1536018600
7262.57,7277.68,7280,7260.01,175.57952946000003,1536022200
7277.68,7276.05,7285,7275,221.5534102,1536025800
7276.05,7270,7276.05,7258.31,241.03563333000005,1536029400
7269.99,7242.23,7270.01,7229.94,315.96287888999984,1536033000
7242.23,7263.57,7264.58,7242.23,94.30035469999999,1536036600
7263.57,7284.99,7285,7263.56,138.34383497999997,1536040200
7284.99,7281,7285,7270.68,282.92783711000016,1536043800
7280.99,7287.43,7311,7276.97,335.44230254999997,1536047400
